Year,Team,Player,PA,AVG,OBP,SLG,wRC+,K%,BB%,BABIP,SB RAA,SB,SB%,RAVG,ROBP,RSLG,LAVG,LOBP,LSLG,UAVG,UOBP,USLG
2023,LG,홍창기,643,0.332,0.444,0.412,161.3,12.9,13.7,0.388,-5.45,23,50.0,0.322,0.439,0.418,0.349,0.452,0.402,0.333,0.423,0.489
2023,LG,오지환,502,0.268,0.371,0.396,127.0,16.3,12.7,0.313,-0.56,16,69.6,0.269,0.374,0.405,0.266,0.367,0.378,0.310,0.420,0.476
2023,LG,오스틴,583,0.313,0.376,0.517,153.9,12.9,9.1,0.328,-0.19,7,70.0,0.314,0.361,0.485,0.313,0.402,0.580,0.218,0.302,0.309
2023,LG,박동원,481,0.249,0.334,0.443,117.7,18.7,10.2,0.267,-0.95,0,0.0,0.242,0.333,0.443,0.267,0.336,0.442,0.278,0.369,0.556
2023,LG,문보경,542,0.301,0.377,0.448,138.5,15.3,10.7,0.345,-1.38,9,52.9,0.294,0.373,0.446,0.313,0.385,0.452,0.286,0.404,0.381
2023,LG,문성주,534,0.294,0.392,0.372,129.1,6.4,12.5,0.312,-0.68,24,63.2,0.325,0.424,0.401,0.236,0.331,0.318,0.364,0.500,0.485
2023,LG,박해민,558,0.285,0.348,0.359,103.4,13.3,8.1,0.325,0.06,26,68.4,0.288,0.341,0.386,0.277,0.362,0.307,0.179,0.333,0.282
2023,LG,김현수,556,0.293,0.364,0.383,114.4,9.5,10.4,0.314,-0.41,2,66.7,0.297,0.372,0.399,0.286,0.351,0.357,0.289,0.310,0.316
2023,LG,김민성,316,0.249,0.326,0.377,100.7,18.4,7.9,0.287,-0.21,2,66.7,0.258,0.340,0.331,0.232,0.298,0.463,0.261,0.357,0.304
2023,LG,신민재,331,0.277,0.344,0.309,87.7,10.3,8.8,0.312,-1.08,37,68.5,0.299,0.359,0.337,0.232,0.315,0.253,0.382,0.417,0.500
2023,LG,이천웅,3,1.000,1.000,1.000,520.1,0.0,0.0,1.000,0.00,0,0.0,1.000,1.000,1.000,,,,1.000,1.000,1.000
2023,LG,안익훈,23,0.318,0.348,0.364,103.7,8.7,0.0,0.350,-0.03,0,0.0,0.357,0.400,0.429,0.250,0.250,0.250,0.500,0.600,0.750
2023,LG,이재원,129,0.214,0.295,0.366,80.4,31.0,9.3,0.282,-0.27,4,66.7,0.178,0.271,0.288,0.282,0.341,0.513,0.188,0.222,0.188
2023,LG,이정용,0,,,,,0.0,0.0,,,0,0.0,,,,,,,,,
2023,LG,김대현,0,,,,,0.0,0.0,,,0,0.0,,,,,,,,,
2023,LG,채지선,0,,,,,0.0,0.0,,,0,0.0,,,,,,,,,
2023,LG,오석주,0,,,,,0.0,0.0,,,0,0.0,,,,,,,,,
2023,LG,최동환,0,,,,,0.0,0.0,,,0,0.0,,,,,,,,,
2023,LG,박명근,0,,,,,0.0,0.0,,,0,0.0,,,,,,,,,
2023,LG,김동규,0,,,,,0.0,0.0,,,0,0.0,,,,,,,,,
2023,LG,고우석,0,,,,,0.0,0.0,,,0,0.0,,,,,,,,,
2023,LG,전준호,1,0.000,0.000,0.000,-140.9,0.0,0.0,0.000,,0,0.0,0.000,0.000,0.000,,,,,,
2023,LG,허도환,81,0.141,0.243,0.281,46.0,24.7,3.7,0.163,-0.02,0,0.0,0.171,0.286,0.244,0.087,0.160,0.348,0.429,0.500,0.429
2023,LG,김주성,7,0.200,0.429,0.200,123.9,28.6,14.3,0.333,-0.02,0,0.0,0.000,0.333,0.000,0.333,0.500,0.333,0.000,0.500,0.000
2023,LG,이주형,16,0.267,0.313,0.400,104.9,31.3,0.0,0.400,-0.02,0,0.0,0.267,0.313,0.400,,,,1.000,1.000,1.500
