Year,Team,Player,PA,AVG,OBP,SLG,wRC+,K%,BB%,BABIP,SB RAA,SB,SB%,RAVG,ROBP,RSLG,LAVG,LOBP,LSLG,UAVG,UOBP,USLG
2025,LG,박동원,523,0.253,0.342,0.455,121.0,23.7,11.9,0.297,0.71,4,100.0,0.253,0.316,0.452,0.252,0.408,0.461,0.333,0.391,0.619
2025,LG,오스틴,499,0.313,0.393,0.595,171.6,12.4,12.2,0.297,0.46,3,100.0,0.315,0.368,0.576,0.31,0.445,0.643,0.333,0.353,0.8
2025,LG,박해민,544,0.276,0.379,0.346,115.7,17.3,12.5,0.343,1.41,49,77.8,0.281,0.385,0.368,0.266,0.367,0.301,0.333,0.333,0.381
2025,LG,문보경,607,0.276,0.371,0.46,135.5,17.8,13.0,0.301,0.08,3,75.0,0.267,0.352,0.454,0.292,0.404,0.472,0.375,0.5,0.75
2025,LG,구본혁,397,0.286,0.364,0.353,106.0,11.1,9.1,0.326,-0.39,10,66.7,0.298,0.375,0.374,0.259,0.339,0.306,0.25,0.438,0.25
2025,LG,신민재,538,0.313,0.395,0.382,128.8,10.6,11.5,0.352,-1.8,15,62.5,0.294,0.385,0.348,0.347,0.413,0.443,0.2,0.35,0.2
2025,LG,김현수,552,0.298,0.384,0.422,133.1,13.2,11.6,0.331,0.63,4,100.0,0.291,0.392,0.449,0.31,0.371,0.38,0.231,0.444,0.231
2025,LG,오지환,472,0.253,0.314,0.43,101.9,24.4,7.8,0.306,-1.51,9,56.3,0.267,0.333,0.463,0.224,0.271,0.358,0.391,0.44,0.783
2025,LG,문성주,542,0.305,0.375,0.375,115.1,10.9,10.0,0.337,-0.64,4,57.1,0.298,0.366,0.361,0.321,0.392,0.404,0.294,0.316,0.353
2025,LG,홍창기,215,0.287,0.399,0.328,119.4,18.6,13.5,0.358,0.44,3,100.0,0.336,0.449,0.391,0.203,0.307,0.219,0.231,0.412,0.308
2025,LG,최원영,115,0.282,0.33,0.33,81.9,17.4,3.5,0.345,-0.52,8,66.7,0.288,0.351,0.333,0.27,0.289,0.324,0.0,0.333,0.0
2025,LG,이주헌,156,0.219,0.351,0.336,104.4,19.2,11.5,0.255,0.04,0,0.0,0.216,0.343,0.33,0.225,0.367,0.35,0.0,0.167,0.0
2025,LG,문정빈,33,0.167,0.242,0.367,57.2,33.3,3.0,0.177,0.01,0,0.0,0.308,0.4,0.769,0.059,0.111,0.059,,1.0,
2025,LG,함창건,36,0.188,0.25,0.25,33.0,25.0,8.3,0.25,0.0,0,0.0,0.207,0.273,0.276,0.0,0.0,0.0,1.0,1.0,1.0
2025,LG,김준태,2,1.0,1.0,1.0,486.7,0.0,50.0,1.0,0.0,0,0.0,1.0,1.0,1.0,,,,,,
2025,LG,박관우,58,0.264,0.31,0.415,94.9,19.0,5.2,0.293,0.01,0,0.0,0.271,0.321,0.438,0.2,0.2,0.2,0.0,0.667,0.0
2025,LG,송찬의,166,0.211,0.291,0.347,74.1,29.5,5.4,0.292,-0.73,2,50.0,0.245,0.343,0.415,0.151,0.193,0.226,0.0,0.1,0.0
2025,LG,김현종,6,0.4,0.5,0.6,231.7,16.7,16.7,0.5,0.0,0,0.0,0.333,0.333,0.333,0.5,0.667,1.0,,,
2025,LG,유영찬,2,0.0,0.5,0.0,161.5,0.0,50.0,0.0,0.0,0,0.0,0.0,0.5,0.0,,,,0.0,0.0,0.0
2025,LG,김주성,17,0.2,0.294,0.4,87.0,11.8,5.9,0.167,-0.42,0,0.0,0.5,0.5,1.0,0.0,0.182,0.0,0.5,0.5,0.5
2025,LG,우강훈,0,,,,,0.0,0.0,,,0,0.0,,,,,,,,,
2025,LG,박명근,0,,,,,0.0,0.0,,,0,0.0,,,,,,,,,
2025,LG,이지강,0,,,,,0.0,0.0,,,0,0.0,,,,,,,,,
2025,LG,김영우,0,,,,,0.0,0.0,,,0,0.0,,,,,,,,,
2025,LG,이우찬,0,,,,,0.0,0.0,,,0,0.0,,,,,,,,,
2025,LG,김진수,0,,,,,0.0,0.0,,,0,0.0,,,,,,,,,
2025,LG,김진성,0,,,,,0.0,0.0,,,0,0.0,,,,,,,,,
2025,LG,백승현,0,,,,,0.0,0.0,,,0,0.0,,,,,,,,,
2025,LG,장현식,0,,,,,0.0,0.0,,,0,0.0,,,,,,,,,
2025,LG,이정용,0,,,,,0.0,0.0,,,0,0.0,,,,,,,,,
2025,LG,함덕주,0,,,,,0.0,0.0,,,0,0.0,,,,,,,,,
2025,LG,김민수,13,0.182,0.231,0.182,4.6,46.2,7.7,0.333,0.0,1,100.0,0.182,0.231,0.182,,,,,,
2025,LG,김성우,5,0.2,0.2,0.2,-12.7,20.0,0.0,0.25,0.0,0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0
2025,LG,손용준,16,0.2,0.25,0.2,15.6,31.3,0.0,0.3,0.13,1,100.0,0.167,0.167,0.167,0.222,0.3,0.222,0.0,0.0,0.0
2025,LG,이영빈,75,0.208,0.216,0.375,42.3,46.7,1.3,0.343,0.13,1,100.0,0.241,0.25,0.397,0.071,0.071,0.286,,,
2025,LG,천성호,118,0.255,0.307,0.34,76.5,14.4,5.9,0.296,0.39,3,100.0,0.259,0.323,0.353,0.238,0.238,0.286,0.0,0.0,0.0
2025,LG,최승민,6,0.0,0.167,0.0,-41.5,33.3,16.7,0.0,-0.72,1,33.3,0.0,0.2,0.0,0.0,0.0,0.0,,,
2025,삼성,디아즈,628,0.314,0.381,0.644,159.7,15.9,9.6,0.299,0.24,1,100.0,0.306,0.37,0.656,0.33,0.402,0.62,0.333,0.417,0.857
2025,삼성,김성윤,538,0.331,0.419,0.474,146.2,10.0,12.1,0.364,0.56,26,78.8,0.354,0.433,0.518,0.283,0.39,0.379,0.474,0.5,0.632
