Year,Team,Player,G,W,L,IP,ERA,FIP,WHIP,K%,BB%,HR/9,BABIP,V_R_ERA,V_R_WHIP,V_R_AVG,V_R_OBP,V_L_ERA,V_L_WHIP,V_L_AVG,V_L_OBP
2023,LG,플럿코,21,11,3,123.1,2.41,3.14,1.18,19.8,6.1,0.37,0.301,2.07,1.20,0.248,0.300,2.82,1.17,0.246,0.291
2023,LG,켈리,30,10,7,178.2,3.83,3.49,1.24,17.3,5.2,0.50,0.311,4.43,1.17,0.257,0.295,3.36,1.34,0.280,0.326
2023,LG,임찬규,30,14,3,144.2,3.42,4.16,1.35,16.3,8.5,0.62,0.291,4.06,1.50,0.275,0.347,2.93,1.26,0.237,0.305
2023,LG,함덕주,57,4,0,55.2,1.62,2.69,0.97,26.6,9.9,0.16,0.231,1.91,0.88,0.137,0.234,1.37,1.10,0.198,0.287
2023,LG,김진성,80,5,1,70.1,2.18,3.90,0.95,25.6,9.6,1.02,0.205,3.19,0.82,0.144,0.226,1.08,1.08,0.200,0.279
2023,LG,백승현,42,2,0,40.0,1.58,3.89,1.15,18.5,11.1,0.45,0.236,0.71,0.79,0.163,0.217,2.45,1.64,0.222,0.364
2023,LG,김윤식,17,6,4,74.2,4.22,4.24,1.49,13.1,7.8,0.48,0.337,4.56,1.37,0.272,0.344,3.67,1.56,0.336,0.368
2023,LG,유영찬,67,6,3,68.0,3.44,4.67,1.40,18.0,13.1,0.53,0.262,3.19,1.55,0.228,0.368,3.93,1.34,0.220,0.320
2023,LG,이정용,37,7,2,86.2,4.15,3.84,1.37,13.1,5.0,0.52,0.316,3.77,1.40,0.304,0.331,4.46,1.39,0.271,0.314
2023,LG,이우찬,38,1,3,38.1,3.52,3.82,1.38,19.1,11.5,0.24,0.324,5.30,1.18,0.250,0.310,1.89,1.53,0.284,0.388
2023,LG,최동환,45,0,0,42.1,3.19,4.41,1.39,10.6,9.0,0.21,0.285,4.74,1.95,0.325,0.411,2.05,1.00,0.192,0.267
2023,LG,고우석,44,3,8,44.0,3.68,2.80,1.36,31.1,11.6,0.41,0.356,5.14,1.62,0.286,0.381,2.01,1.16,0.184,0.303
2023,LG,이지강,22,2,5,68.0,3.97,4.84,1.29,12.7,9.4,0.53,0.257,4.13,1.26,0.228,0.333,3.41,1.31,0.233,0.320
2023,LG,이상규,8,0,0,7.2,2.35,3.91,1.57,17.6,14.7,0.00,0.304,1.59,0.88,0.158,0.238,4.50,3.50,0.400,0.538
2023,LG,이상영,6,0,1,11.0,3.27,6.04,1.82,7.4,14.8,0.00,0.324,6.35,1.76,0.200,0.429,0.00,1.60,0.333,0.429
2023,LG,윤호솔,4,0,0,3.2,2.45,3.66,1.64,23.5,17.6,0.00,0.300,9.00,5.00,0.400,0.625,0.00,0.38,0.111,0.111
2023,LG,송은범,4,0,0,3.2,2.45,5.02,2.45,11.8,17.6,0.00,0.500,3.86,2.14,0.500,0.556,0.00,3.00,0.333,0.500
2023,LG,이민호,5,0,2,19.2,5.03,5.14,1.63,7.7,11.0,0.46,0.300,6.97,1.84,0.300,0.388,2.89,1.39,0.278,0.333
2023,LG,진해수,19,0,0,14.2,3.68,5.54,1.91,16.7,13.9,1.23,0.333,6.75,2.81,0.375,0.484,2.08,1.50,0.257,0.333
2023,LG,송승기,1,0,0,1.0,0.00,6.95,2.00,0.0,20.0,0.00,0.250,0.00,6.00,0.500,0.667,0.00,0.00,0.000,0.000
2023,LG,김영준,1,1,0,0.1,27.00,13.15,6.00,0.0,33.3,0.00,0.500,0.00,0.00,0.000,0.000,99.99,99.99,1.000,1.000
2023,LG,성동현,1,0,0,1.0,9.00,4.45,3.00,16.7,16.7,0.00,0.500,13.50,1.50,0.333,0.333,0.00,6.00,0.500,0.667
2023,LG,오석주,9,0,0,10.0,6.30,4.41,1.50,25.0,6.8,1.80,0.357,5.14,1.14,0.286,0.286,9.00,2.33,0.308,0.438
2023,LG,강효종,7,1,2,21.2,6.23,4.79,1.71,13.6,11.7,0.42,0.338,10.13,1.31,0.293,0.311,2.53,1.97,0.310,0.442
2023,LG,배재준,1,0,0,1.0,18.00,6.95,3.00,0.0,16.7,0.00,0.400,0.00,1.00,0.250,0.250,99.99,99.99,1.000,1.000
2023,LG,김동규,1,0,0,0.1,27.00,41.05,9.00,0.0,50.0,0.00,0.000,27.00,6.00,0.000,0.750,,99.99,0.000,0.500
2023,LG,박명근,57,4,3,51.1,5.08,4.82,1.50,16.9,11.9,0.70,0.287,5.63,1.31,0.231,0.321,4.50,1.89,0.286,0.402
2023,LG,김대현,5,0,0,3.1,10.80,7.96,3.00,13.6,9.1,2.70,0.467,9.00,3.50,0.500,0.571,13.50,2.25,0.286,0.375
