Year,Team,Player,G,W,L,IP,ERA,FIP,WHIP,K%,BB%,HR/9,BABIP,V_R_ERA,V_R_WHIP,V_R_AVG,V_R_OBP,V_L_ERA,V_L_WHIP,V_L_AVG,V_L_OBP
2025,LG,치리노스,30,13,6,177.0,3.31,3.13,1.18,18.6,4.9,0.25,0.31,3.12,1.05,0.238,0.284,3.69,1.36,0.271,0.318
2025,LG,임찬규,27,11,7,160.1,3.03,3.82,1.27,16.0,6.0,0.51,0.306,3.06,1.29,0.282,0.324,3.05,1.28,0.251,0.31
2025,LG,손주영,30,11,6,153.0,3.41,3.49,1.32,20.5,7.6,0.47,0.325,3.48,1.44,0.279,0.347,3.12,1.15,0.242,0.284
2025,LG,송승기,28,11,6,144.0,3.5,4.1,1.38,19.9,7.8,0.94,0.309,3.6,1.34,0.261,0.314,3.4,1.42,0.26,0.325
2025,LG,김영우,66,3,2,60.0,2.4,3.64,1.32,22.0,11.8,0.3,0.296,1.95,1.21,0.207,0.308,3.08,1.44,0.253,0.351
2025,LG,톨허스트,8,6,2,44.0,2.86,3.21,1.25,24.5,8.7,0.41,0.314,3.43,1.38,0.241,0.333,2.45,1.18,0.244,0.3
2025,LG,에르난데스,14,4,4,66.0,4.23,3.82,1.17,26.4,8.7,0.96,0.275,3.91,1.22,0.215,0.318,4.26,1.13,0.229,0.284
2025,LG,유영찬,39,2,2,41.0,2.63,3.2,1.32,29.4,13.0,0.44,0.302,2.77,1.0,0.17,0.267,2.51,1.88,0.259,0.403
2025,LG,장현식,56,3,3,49.2,4.35,4.58,1.73,16.2,9.0,0.73,0.374,3.42,1.73,0.327,0.394,3.86,1.56,0.291,0.365
2025,LG,박명근,44,3,4,38.2,4.89,5.09,1.34,17.9,9.5,1.16,0.282,4.94,1.31,0.25,0.347,4.4,1.33,0.231,0.328
2025,LG,이정용,39,6,1,34.0,5.03,4.37,1.29,18.7,8.6,0.79,0.305,4.86,1.26,0.23,0.319,4.86,1.26,0.271,0.338
2025,LG,김진성,78,6,4,70.2,3.44,3.91,1.2,21.6,8.2,0.89,0.277,2.56,0.91,0.206,0.236,4.75,1.55,0.27,0.353
2025,LG,이우찬,23,0,1,19.0,1.89,3.81,1.42,23.3,16.3,0.0,0.26,1.23,1.5,0.207,0.343,2.7,1.4,0.194,0.326
2025,LG,김강률,12,1,0,12.1,1.46,4.43,1.22,17.6,15.7,0.0,0.212,1.59,1.41,0.222,0.391,1.35,0.9,0.087,0.222
2025,LG,최채흥,13,0,1,29.0,5.28,4.99,1.69,15.9,10.6,0.93,0.344,5.02,1.67,0.281,0.373,5.93,1.54,0.288,0.362
2025,LG,임준형,5,0,0,4.2,1.93,4.22,1.29,11.1,11.1,0.0,0.308,0.0,2.4,0.429,0.5,4.5,1.0,0.167,0.286
2025,LG,백승현,33,1,0,30.0,3.9,5.45,1.87,18.5,19.2,0.6,0.302,3.06,1.92,0.275,0.412,4.38,1.7,0.2,0.362
2025,LG,배재준,14,0,0,13.0,5.54,4.11,1.23,25.0,12.5,0.69,0.242,3.86,0.57,0.13,0.16,7.5,2.0,0.25,0.419
2025,LG,우강훈,11,0,0,9.2,4.66,5.27,1.86,10.9,13.0,0.0,0.364,0.0,1.42,0.238,0.407,13.5,2.7,0.438,0.474
2025,LG,이종준,2,0,0,1.2,0.0,2.84,0.6,33.3,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.333
2025,LG,박시원,2,0,0,1.1,13.5,15.92,3.75,0.0,55.6,0.0,0.0,0.0,3.0,0.0,0.5,27.0,3.0,0.0,0.5
